,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
230,sterling,75,US,1663048077,94,39.0062,-77.4286,21.61,0.0
231,sivas,75,TR,1663047948,94,39.7916,37.0019,13.35,3.09
232,ixtapa,96,MX,1663047492,90,20.7,-105.2,25.13,0.89
233,isangel,34,VU,1663047593,70,-19.55,169.2667,25.84,3.13
234,frontera,42,MX,1663047913,58,26.9333,-101.45,26.29,1.34
235,pemba,22,MZ,1663047815,71,-12.974,40.5178,24.63,2.15
236,talnakh,100,RU,1663047534,91,69.4865,88.3972,2.34,4.16
237,pacific grove,75,US,1663048078,87,36.6177,-121.9166,18.45,2.57
238,vichuga,57,RU,1663047979,52,57.2128,41.9301,11.36,4.08
239,kortkeros,100,RU,1663048079,66,61.8106,51.5806,10.1,3.89
240,karacakoy,1,TR,1663048079,67,41.4029,28.3834,20.93,6.97
241,lebu,33,CL,1663047920,85,-37.6167,-73.65,8.12,0.66
242,kantunilkin,100,MX,1663048080,92,21.0917,-87.45,24.48,0.07
243,ranong,81,TH,1663047633,65,9.9658,98.6348,28.96,3.59
244,cururupu,39,BR,1663048081,92,-1.8283,-44.8683,23.87,2.05
245,gondanglegi,3,ID,1663048081,41,-7.7479,112.0132,33.84,6.62
246,praia,100,CV,1663047581,86,14.9215,-23.5087,25.76,5.88
247,verkhnevilyuysk,100,RU,1663048082,81,63.4453,120.3167,10.32,2.38
248,maceio,40,BR,1663048084,88,-9.6658,-35.7353,22.69,1.54
249,raudeberg,100,NO,1663048084,33,61.9875,5.1352,11.37,4.3
250,bilibino,100,RU,1663048085,80,68.0546,166.4372,4.34,1.69
251,san felipe,82,VE,1663048087,98,10.3399,-68.7425,22.19,0.67
252,nizwa,74,OM,1663047586,23,22.9333,57.5333,35.75,2.0
253,dunedin,100,NZ,1663047538,82,-45.8742,170.5036,6.56,11.62
254,viedma,56,AR,1663047623,85,-40.8135,-62.9967,7.63,4.17
255,hay river,75,CA,1663048088,58,60.8156,-115.7999,10.99,4.12
256,camana,96,PE,1663047879,88,-16.6228,-72.7111,14.93,5.05
257,chapleau,100,CA,1663048089,97,47.8405,-83.4034,13.22,0.23
258,kununurra,75,AU,1663047570,32,-15.7667,128.7333,36.99,6.69
259,procida,0,IT,1663048090,84,40.7569,14.0144,23.11,0.86
260,rayong,57,TH,1663048090,63,12.8333,101.4333,33.5,1.22
261,ulaanbaatar,40,MN,1663047449,16,47.9077,106.8832,27.07,5.0
262,porbandar,75,IN,1663048091,94,21.6422,69.6093,25.99,6.17
263,babol,0,IR,1663048091,78,36.5513,52.679,27.04,0.0
264,port lincoln,51,AU,1663047638,72,-34.7333,135.8667,16.05,5.18
265,guerrero negro,0,MX,1663047580,82,27.9769,-114.0611,22.9,4.75
266,severo-kurilsk,100,RU,1663048092,80,50.6789,156.125,14.26,2.92
267,puerto quijarro,47,BO,1663048093,52,-17.7833,-57.7667,23.55,1.86
268,erenhot,0,CN,1663048093,21,43.6475,111.9767,26.82,2.63
269,bilma,45,NE,1663047616,19,18.6853,12.9164,29.73,3.71
270,nicoya,100,CR,1663047516,94,10.1483,-85.452,23.93,1.41
271,baraboo,85,US,1663048094,96,43.4711,-89.7443,15.94,2.53
272,deputatskiy,29,RU,1663048094,42,69.3,139.9,5.21,3.5
273,ancud,79,CL,1663048082,89,-41.8697,-73.8203,10.68,2.02
274,suratgarh,82,IN,1663048095,39,29.3167,73.9,35.69,4.41
275,baicheng,0,CN,1663048096,27,45.6167,122.8167,23.06,2.81
276,rorvik,0,NO,1663048097,82,64.8621,11.2373,12.99,2.06
277,arlit,0,NE,1663048097,13,18.7369,7.3853,30.53,4.67
278,sola,9,VU,1663048098,71,-13.8833,167.55,27.05,7.3
279,biak,20,ID,1663048099,72,-0.9131,122.8766,27.51,3.75
280,kahului,40,US,1663048099,74,20.8947,-156.47,27.01,7.2
